token,sentiment,score
brilliant,positive,1
brilliantly,positive,1
brimstone,negative,-1
brisk,positive,1
bristle,negative,-1
brittle,negative,-1
broke,negative,-1
broken,negative,-1
broken-hearted,negative,-1
brood,negative,-1
brotherly,positive,1
browbeat,negative,-1
bruise,negative,-1
bruised,negative,-1
bruises,negative,-1
bruising,negative,-1
brusque,negative,-1
brutal,negative,-1
brutalising,negative,-1
brutalities,negative,-1
brutality,negative,-1
brutalize,negative,-1
brutalizing,negative,-1
brutally,negative,-1
brute,negative,-1
brutish,negative,-1
bs,negative,-1
buckle,negative,-1
bug,negative,-1
bugging,negative,-1
buggy,negative,-1
bugs,negative,-1
bulkier,negative,-1
bulkiness,negative,-1
bulky,negative,-1
bulkyness,negative,-1
bull----,negative,-1
bull****,negative,-1
bullies,negative,-1
bullish,positive,1
bullshit,negative,-1
bullshyt,negative,-1
bully,negative,-1
bullying,negative,-1
bullyingly,negative,-1
bum,negative,-1
bump,negative,-1
bumped,negative,-1
bumping,negative,-1
bumpping,negative,-1
bumps,negative,-1
bumpy,negative,-1
bungle,negative,-1
bungler,negative,-1
bungling,negative,-1
bunk,negative,-1
buoyant,positive,1
burden,negative,-1
burdensome,negative,-1
burdensomely,negative,-1
burn,negative,-1
burned,negative,-1
burning,negative,-1
burns,negative,-1
bust,negative,-1
busts,negative,-1
busybody,negative,-1
butcher,negative,-1
butchery,negative,-1
buzzing,negative,-1
byzantine,negative,-1
cackle,negative,-1
cajole,positive,1
calamities,negative,-1
calamitous,negative,-1
calamitously,negative,-1
calamity,negative,-1
callous,negative,-1
calm,positive,1
calming,positive,1
calmness,positive,1
calumniate,negative,-1
calumniation,negative,-1
calumnies,negative,-1
calumnious,negative,-1
calumniously,negative,-1
calumny,negative,-1
cancer,negative,-1
cancerous,negative,-1
cannibal,negative,-1
cannibalize,negative,-1
capability,positive,1
capable,positive,1
capably,positive,1
capitulate,negative,-1
capricious,negative,-1
capriciously,negative,-1
capriciousness,negative,-1
capsize,negative,-1
captivate,positive,1
captivating,positive,1
carefree,positive,1
careless,negative,-1
carelessness,negative,-1
caricature,negative,-1
carnage,negative,-1
carp,negative,-1
cartoonish,negative,-1
cash-strapped,negative,-1
cashback,positive,1
cashbacks,positive,1
castigate,negative,-1
castrated,negative,-1
casualty,negative,-1
cataclysm,negative,-1
cataclysmal,negative,-1
cataclysmic,negative,-1
cataclysmically,negative,-1
catastrophe,negative,-1
catastrophes,negative,-1
catastrophic,negative,-1
catastrophically,negative,-1
catastrophies,negative,-1
catchy,positive,1
caustic,negative,-1
caustically,negative,-1
cautionary,negative,-1
cave,negative,-1
celebrate,positive,1
celebrated,positive,1
celebration,positive,1
celebratory,positive,1
censure,negative,-1
chafe,negative,-1
chaff,negative,-1
chagrin,negative,-1
challenging,negative,-1
champ,positive,1
champion,positive,1
chaos,negative,-1
chaotic,negative,-1
charisma,positive,1
charismatic,positive,1
charitable,positive,1
charm,positive,1
charming,positive,1
charmingly,positive,1
chaste,positive,1
chasten,negative,-1
chastise,negative,-1
chastisement,negative,-1
chatter,negative,-1
chatterbox,negative,-1
cheap,negative,-1
cheapen,negative,-1
cheaper,positive,1
cheapest,positive,1
cheaply,negative,-1
cheat,negative,-1
cheated,negative,-1
cheater,negative,-1
cheating,negative,-1
cheats,negative,-1
checkered,negative,-1
cheer,positive,1
cheerful,positive,1
cheerless,negative,-1
cheery,positive,1
cheesy,negative,-1
cherish,positive,1
cherished,positive,1
cherub,positive,1
chic,positive,1
chide,negative,-1
childish,negative,-1
chill,negative,-1
chilly,negative,-1
chintzy,negative,-1
chivalrous,positive,1
chivalry,positive,1
choke,negative,-1
choleric,negative,-1
choppy,negative,-1
chore,negative,-1
chronic,negative,-1
chunky,negative,-1
civility,positive,1
civilize,positive,1
clamor,negative,-1
clamorous,negative,-1
clarity,positive,1
clash,negative,-1
classic,positive,1
classy,positive,1
clean,positive,1
cleaner,positive,1
cleanest,positive,1
cleanliness,positive,1
cleanly,positive,1
clear,positive,1
clear-cut,positive,1
cleared,positive,1
clearer,positive,1
clearly,positive,1
clears,positive,1
clever,positive,1
cleverly,positive,1
cliche,negative,-1
cliched,negative,-1
clique,negative,-1
clog,negative,-1
clogged,negative,-1
clogs,negative,-1
cloud,negative,-1
clouding,negative,-1
cloudy,negative,-1
clueless,negative,-1
clumsy,negative,-1
clunky,negative,-1
coarse,negative,-1
cocky,negative,-1
coerce,negative,-1
coercion,negative,-1
coercive,negative,-1
cohere,positive,1
coherence,positive,1
coherent,positive,1
cohesive,positive,1
cold,negative,-1
coldly,negative,-1
collapse,negative,-1
collude,negative,-1
collusion,negative,-1
colorful,positive,1
combative,negative,-1
combust,negative,-1
comely,positive,1
comfort,positive,1
comfortable,positive,1
comfortably,positive,1
comforting,positive,1
comfy,positive,1
comical,negative,-1
commend,positive,1
commendable,positive,1
commendably,positive,1
commiserate,negative,-1
commitment,positive,1
commodious,positive,1
commonplace,negative,-1
commotion,negative,-1
commotions,negative,-1
compact,positive,1
compactly,positive,1
compassion,positive,1
compassionate,positive,1
compatible,positive,1
competitive,positive,1
complacent,negative,-1
complain,negative,-1
complained,negative,-1
complaining,negative,-1
complains,negative,-1
complaint,negative,-1
complaints,negative,-1
complement,positive,1
complementary,positive,1
complemented,positive,1
complements,positive,1
complex,negative,-1
compliant,positive,1
complicated,negative,-1
complication,negative,-1
complicit,negative,-1
compliment,positive,1
complimentary,positive,1
comprehensive,positive,1
compulsion,negative,-1
compulsive,negative,-1
concede,negative,-1
conceded,negative,-1
conceit,negative,-1
conceited,negative,-1
concen,negative,-1
concens,negative,-1
concern,negative,-1
concerned,negative,-1
concerns,negative,-1
concession,negative,-1
concessions,negative,-1
conciliate,positive,1
conciliatory,positive,1
concise,positive,1
condemn,negative,-1
condemnable,negative,-1
condemnation,negative,-1
condemned,negative,-1
condemns,negative,-1
condescend,negative,-1
condescending,negative,-1
condescendingly,negative,-1
condescension,negative,-1
confess,negative,-1
confession,negative,-1
confessions,negative,-1
confidence,positive,1
confident,positive,1
confined,negative,-1
conflict,negative,-1
conflicted,negative,-1
conflicting,negative,-1
conflicts,negative,-1
confound,negative,-1
confounded,negative,-1
confounding,negative,-1
confront,negative,-1
confrontation,negative,-1
confrontational,negative,-1
confuse,negative,-1
confused,negative,-1
confuses,negative,-1
confusing,negative,-1
confusion,negative,-1
confusions,negative,-1
congenial,positive,1
congested,negative,-1
congestion,negative,-1
congratulate,positive,1
congratulation,positive,1
congratulations,positive,1
congratulatory,positive,1
cons,negative,-1
conscientious,positive,1
conscons,negative,-1
conservative,negative,-1
considerate,positive,1
consistent,positive,1
consistently,positive,1
conspicuous,negative,-1
conspicuously,negative,-1
conspiracies,negative,-1
conspiracy,negative,-1
conspirator,negative,-1
conspiratorial,negative,-1
conspire,negative,-1
consternation,negative,-1
constructive,positive,1
consummate,positive,1
contagious,negative,-1
contaminate,negative,-1
contaminated,negative,-1
contaminates,negative,-1
contaminating,negative,-1
contamination,negative,-1
contempt,negative,-1
contemptible,negative,-1
contemptuous,negative,-1
contemptuously,negative,-1
contend,negative,-1
contention,negative,-1
contentious,negative,-1
contentment,positive,1
continuity,positive,1
contort,negative,-1
contortions,negative,-1
contradict,negative,-1
contradiction,negative,-1
contradictory,negative,-1
contrariness,negative,-1
contrasty,positive,1
contravene,negative,-1
contribution,positive,1
contrive,negative,-1
contrived,negative,-1
controversial,negative,-1
controversy,negative,-1
convenience,positive,1
convenient,positive,1
conveniently,positive,1
convience,positive,1
convienient,positive,1
convient,positive,1
convincing,positive,1
convincingly,positive,1
convoluted,negative,-1
cool,positive,1
coolest,positive,1
cooperative,positive,1
cooperatively,positive,1
cornerstone,positive,1
correct,positive,1
correctly,positive,1
corrode,negative,-1
corrosion,negative,-1
corrosions,negative,-1
corrosive,negative,-1
corrupt,negative,-1
corrupted,negative,-1
corrupting,negative,-1
corruption,negative,-1
corrupts,negative,-1
corruptted,negative,-1
cost-effective,positive,1
cost-saving,positive,1
costlier,negative,-1
costly,negative,-1
counter-attack,positive,1
counter-attacks,positive,1
counter-productive,negative,-1
counterproductive,negative,-1
coupists,negative,-1
courage,positive,1
courageous,positive,1
courageously,positive,1
courageousness,positive,1
courteous,positive,1
courtly,positive,1
covenant,positive,1
covetous,negative,-1
coward,negative,-1
cowardly,negative,-1
cozy,positive,1
crabby,negative,-1
crack,negative,-1
cracked,negative,-1
cracks,negative,-1
craftily,negative,-1
craftly,negative,-1
crafty,negative,-1
cramp,negative,-1
cramped,negative,-1
cramping,negative,-1
cranky,negative,-1
crap,negative,-1
crappy,negative,-1
craps,negative,-1
crash,negative,-1
crashed,negative,-1
crashes,negative,-1
crashing,negative,-1
crass,negative,-1
craven,negative,-1
cravenly,negative,-1
craze,negative,-1
crazily,negative,-1
craziness,negative,-1
crazy,negative,-1
creak,negative,-1
creaking,negative,-1
creaks,negative,-1
creative,positive,1
credence,positive,1
credible,positive,1
credulous,negative,-1
creep,negative,-1
creeping,negative,-1
creeps,negative,-1
creepy,negative,-1
crept,negative,-1
crime,negative,-1
criminal,negative,-1
cringe,negative,-1
cringed,negative,-1
cringes,negative,-1
cripple,negative,-1
crippled,negative,-1
cripples,negative,-1
crippling,negative,-1
crisis,negative,-1
crisp,positive,1
crisper,positive,1
critic,negative,-1
critical,negative,-1
criticism,negative,-1
criticisms,negative,-1
criticize,negative,-1
criticized,negative,-1
criticizing,negative,-1
critics,negative,-1
cronyism,negative,-1
crook,negative,-1
crooked,negative,-1
crooks,negative,-1
crowded,negative,-1
crowdedness,negative,-1
crude,negative,-1
cruel,negative,-1
crueler,negative,-1
cruelest,negative,-1
cruelly,negative,-1
cruelness,negative,-1
cruelties,negative,-1
cruelty,negative,-1
crumble,negative,-1
crumbling,negative,-1
crummy,negative,-1
crumple,negative,-1
crumpled,negative,-1
crumples,negative,-1
crush,negative,-1
crushed,negative,-1
crushing,negative,-1
cry,negative,-1
culpable,negative,-1
culprit,negative,-1
cumbersome,negative,-1
cunt,negative,-1
cunts,negative,-1
cuplrit,negative,-1
cure,positive,1
cure-all,positive,1
curse,negative,-1
cursed,negative,-1
curses,negative,-1
curt,negative,-1
cushy,positive,1
cuss,negative,-1
cussed,negative,-1
cute,positive,1
cuteness,positive,1
cutthroat,negative,-1
cynical,negative,-1
cynicism,negative,-1
d*mn,negative,-1
damage,negative,-1
damaged,negative,-1
damages,negative,-1
damaging,negative,-1
damn,negative,-1
damnable,negative,-1
damnably,negative,-1
damnation,negative,-1
damned,negative,-1
damning,negative,-1
damper,negative,-1
danger,negative,-1
dangerous,negative,-1
dangerousness,negative,-1
danke,positive,1
danken,positive,1
daring,positive,1
daringly,positive,1
dark,negative,-1
darken,negative,-1
darkened,negative,-1
darker,negative,-1
darkness,negative,-1
darling,positive,1
dashing,positive,1
dastard,negative,-1
dastardly,negative,-1
daunt,negative,-1
daunting,negative,-1
dauntingly,negative,-1
dauntless,positive,1
dawdle,negative,-1
dawn,positive,1
daze,negative,-1
dazed,negative,-1
dazzle,positive,1
dazzled,positive,1
dazzling,positive,1
dead,negative,-1
dead-cheap,positive,1
dead-on,positive,1
deadbeat,negative,-1
deadlock,negative,-1
deadly,negative,-1
deadweight,negative,-1
deaf,negative,-1
dearth,negative,-1
death,negative,-1
debacle,negative,-1
debase,negative,-1
debasement,negative,-1
debaser,negative,-1
debatable,negative,-1
debauch,negative,-1
debaucher,negative,-1
debauchery,negative,-1
debilitate,negative,-1
debilitating,negative,-1
debility,negative,-1
debt,negative,-1
debts,negative,-1
decadence,negative,-1
decadent,negative,-1
decay,negative,-1
decayed,negative,-1
deceit,negative,-1
deceitful,negative,-1
deceitfully,negative,-1
deceitfulness,negative,-1
deceive,negative,-1
deceiver,negative,-1
deceivers,negative,-1
deceiving,negative,-1
decency,positive,1
decent,positive,1
deception,negative,-1
deceptive,negative,-1
deceptively,negative,-1
decisive,positive,1
decisiveness,positive,1
declaim,negative,-1
decline,negative,-1
declines,negative,-1
declining,negative,-1
decrement,negative,-1
decrepit,negative,-1
decrepitude,negative,-1
decry,negative,-1
dedicated,positive,1
defamation,negative,-1
defamations,negative,-1
defamatory,negative,-1
defame,negative,-1
defeat,positive,1
defeated,positive,1
defeating,positive,1
defeats,positive,1
defect,negative,-1
defective,negative,-1
defects,negative,-1
defender,positive,1
defensive,negative,-1
deference,positive,1
defiance,negative,-1
defiant,negative,-1
defiantly,negative,-1
deficiencies,negative,-1
deficiency,negative,-1
deficient,negative,-1
defile,negative,-1
defiler,negative,-1
deform,negative,-1
deformed,negative,-1
defrauding,negative,-1
deft,positive,1
defunct,negative,-1
defy,negative,-1
degenerate,negative,-1
degenerately,negative,-1
degeneration,negative,-1
deginified,positive,1
degradation,negative,-1
degrade,negative,-1
degrading,negative,-1
degradingly,negative,-1
dehumanization,negative,-1
dehumanize,negative,-1
deign,negative,-1
deject,negative,-1
dejected,negative,-1
dejectedly,negative,-1
dejection,negative,-1
delay,negative,-1
delayed,negative,-1
delaying,negative,-1
delays,negative,-1
delectable,positive,1
delicacy,positive,1
delicate,positive,1
delicious,positive,1
delight,positive,1
delighted,positive,1
delightful,positive,1
delightfully,positive,1
delightfulness,positive,1
delinquency,negative,-1
delinquent,negative,-1
delirious,negative,-1
delirium,negative,-1
delude,negative,-1
deluded,negative,-1
deluge,negative,-1
delusion,negative,-1
delusional,negative,-1
delusions,negative,-1
demean,negative,-1
demeaning,negative,-1
demise,negative,-1
demolish,negative,-1
demolisher,negative,-1
demon,negative,-1
demonic,negative,-1
demonize,negative,-1
demonized,negative,-1
demonizes,negative,-1
demonizing,negative,-1
demoralize,negative,-1
demoralizing,negative,-1
demoralizingly,negative,-1
denial,negative,-1
denied,negative,-1
denies,negative,-1
denigrate,negative,-1
denounce,negative,-1
dense,negative,-1
dent,negative,-1
dented,negative,-1
dents,negative,-1
denunciate,negative,-1
denunciation,negative,-1
denunciations,negative,-1
deny,negative,-1
denying,negative,-1
dependable,positive,1
dependably,positive,1
deplete,negative,-1
deplorable,negative,-1
deplorably,negative,-1
deplore,negative,-1
deploring,negative,-1
deploringly,negative,-1
deprave,negative,-1
depraved,negative,-1
depravedly,negative,-1
deprecate,negative,-1
depress,negative,-1
depressed,negative,-1
depressing,negative,-1
depressingly,negative,-1
depression,negative,-1
depressions,negative,-1
deprive,negative,-1
deprived,negative,-1
deride,negative,-1
derision,negative,-1
derisive,negative,-1
